tax	barcode07	barcode08	barcode09	barcode10	barcode11	barcode12	unclassified	total
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria sicca	5.0	67.0	0.0	47.0	20.0	18.0	3.0	160.0
Bacteria;Bacteria_none;Candidatus Saccharibacteria;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;TM7 phylum sp. oral taxon 346	0.0	102.0	0.0	0.0	12.0	39.0	2.0	155.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oris	131.0	3.0	0.0	0.0	6.0	9.0	4.0	153.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia dentiphila	126.0	5.0	7.0	0.0	7.0	4.0	2.0	151.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter segnis	0.0	50.0	0.0	55.0	14.0	22.0	1.0	142.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum saburreum	122.0	2.0	1.0	5.0	4.0	3.0	4.0	141.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas sp. oral taxon 479	0.0	120.0	0.0	1.0	3.0	9.0	1.0	134.0
Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga ochracea	0.0	78.0	0.0	3.0	23.0	26.0	1.0	131.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus haemolyticus	7.0	0.0	116.0	0.0	0.0	0.0	3.0	126.0
Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella parvula	8.0	0.0	57.0	2.0	30.0	20.0	2.0	119.0
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas;Parvimonas sp. oral taxon 110	0.0	60.0	5.0	31.0	7.0	10.0	6.0	119.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Unclassified_Schaalia	0.0	0.0	111.0	0.0	1.0	0.0	4.0	116.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri	0.0	0.0	0.0	2.0	41.0	70.0	1.0	114.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;Tannerella serpentiformis	0.0	48.0	6.0	2.0	20.0	36.0	1.0	113.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium hwasookii	58.0	31.0	9.0	3.0	2.0	6.0	3.0	112.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 172	0.0	0.0	33.0	2.0	26.0	50.0	1.0	112.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria bacilliformis	88.0	0.0	0.0	0.0	0.0	0.0	2.0	90.0
Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga endodontalis	19.0	56.0	0.0	0.0	2.0	6.0	2.0	85.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium matruchotii	0.0	33.0	0.0	1.0	10.0	39.0	1.0	84.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nigrescens	1.0	21.0	4.0	2.0	11.0	39.0	1.0	79.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus cristatus	0.0	37.0	0.0	3.0	13.0	25.0	1.0	79.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sobrinus	71.0	0.0	5.0	0.0	0.0	0.0	1.0	77.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas dianae	0.0	36.0	0.0	1.0	5.0	31.0	2.0	75.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia hongkongensis	48.0	13.0	7.0	2.0	0.0	0.0	2.0	72.0
